design_version,group_id,scenario_key,scenario_label,scenario_n_stays,n_stays,rep,method,loss,oracle_loss,regret,regret_percent_of_oracle,stay_loss_sd,n_assessment_stays,calibration_p_lt,calibration_p_le,calibration_interval_violation,calibration_strict_absolute_error,offset_bias,offset_rmse,offset_correlation
ademp-v2,10000152,transient_nonpersistent,Transient non-persistence,600,600,153,raw_index_q10,1.7151440081637659,0.9316368475926151,0.7835071605711508,84.10006137002449,1.438162170876468,120,0.18490116365116363,0.18490116365116363,0.08490116365116362,0.08490116365116362,,,
ademp-v2,10000152,transient_nonpersistent,Transient non-persistence,600,600,153,affine_calibrated_q10,1.040593227751207,0.9316368475926151,0.10895638015859199,11.695155729417465,0.3648541824949568,120,0.09819363506863506,0.09819363506863506,0.0018063649313649482,0.0018063649313649482,,,
ademp-v2,10000152,transient_nonpersistent,Transient non-persistence,600,600,153,unpenalized_level,1.7151440081637659,0.9316368475926151,0.7835071605711508,84.10006137002449,1.438162170876468,120,0.18490116365116363,0.18490116365116363,0.08490116365116362,0.08490116365116362,0.9472712545429166,6.79279092976935,
ademp-v2,10000152,transient_nonpersistent,Transient non-persistence,600,600,153,tuned_level,0.9827746533160356,0.9316368475926151,0.051137805723420526,5.489027817605385,0.2354729380300062,120,0.04509846634846635,0.04509846634846635,0.054901533651533656,0.054901533651533656,-0.03269964613854072,0.11599938660339269,
ademp-v2,10000152,transient_nonpersistent,Transient non-persistence,600,600,153,tuned_level_slope,0.9823532595632433,0.9316368475926151,0.05071641197062815,5.4437962712274945,0.23537796065058475,120,0.04509846634846635,0.04509846634846635,0.054901533651533656,0.054901533651533656,-0.02430111692340112,0.0883938209513183,
ademp-v2,10000153,transient_nonpersistent,Transient non-persistence,600,600,154,oracle,0.9511849890828274,0.9511849890828274,0.0,0.0,0.2711478137433262,120,0.07945672383172384,0.07945672383172384,0.02054327616827617,0.02054327616827617,,,
ademp-v2,10000153,transient_nonpersistent,Transient non-persistence,600,600,154,population,1.0136180011961804,0.9511849890828274,0.06243301211335295,6.563708724372688,0.23791596939577975,120,0.04883029008029008,0.04883029008029008,0.05116970991970993,0.05116970991970993,,,
ademp-v2,10000153,transient_nonpersistent,Transient non-persistence,600,600,154,raw_index_q10,1.6534732020340812,0.9511849890828274,0.7022882129512538,73.83297896957242,1.2361501901236078,120,0.21002522940022939,0.21002522940022939,0.11002522940022938,0.11002522940022938,,,
ademp-v2,10000153,transient_nonpersistent,Transient non-persistence,600,600,154,affine_calibrated_q10,0.9873209901969265,0.9511849890828274,0.03613600111409909,3.799050818594493,0.2562563973050277,120,0.08641395641395641,0.08641395641395641,0.013586043586043595,0.013586043586043595,,,
ademp-v2,10000153,transient_nonpersistent,Transient non-persistence,600,600,154,unpenalized_level,1.6534732020340812,0.9511849890828274,0.7022882129512538,73.83297896957242,1.2361501901236078,120,0.21002522940022939,0.21002522940022939,0.11002522940022938,0.11002522940022938,2.1301709084385,7.037688741065725,
ademp-v2,10000153,transient_nonpersistent,Transient non-persistence,600,600,154,tuned_level,1.0136308277523403,0.9511849890828274,0.06244583866951281,6.565057206140912,0.23781382585332103,120,0.04883029008029008,0.04883029008029008,0.05116970991970993,0.05116970991970993,-0.0004499999999999998,0.003300743462828853,
ademp-v2,10000153,transient_nonpersistent,Transient non-persistence,600,600,154,tuned_level_slope,1.0136265648583396,0.9511849890828274,0.062441575775512126,6.564609039480419,0.23782080464736433,120,0.04883029008029008,0.04883029008029008,0.05116970991970993,0.05116970991970993,-0.0003115570042556172,0.002466842413464301,
ademp-v2,10000154,transient_nonpersistent,Transient non-persistence,600,600,155,oracle,1.016894055957495,1.016894055957495,0.0,0.0,0.41941370674602346,120,0.10832662707662707,0.10832662707662707,0.008326627076627069,0.008326627076627069,,,
ademp-v2,10000154,transient_nonpersistent,Transient non-persistence,600,600,155,population,1.0579507470110128,1.016894055957495,0.041056691053517724,4.037460029684139,0.3563212861952233,120,0.060852226477226476,0.060852226477226476,0.03914777352277353,0.03914777352277353,,,
ademp-v2,10000154,transient_nonpersistent,Transient non-persistence,600,600,155,raw_index_q10,1.8270376792629954,1.016894055957495,0.8101436233055004,79.6684392596512,1.4917673232920288,120,0.24331083268583267,0.24331083268583267,0.14331083268583267,0.14331083268583267,,,
ademp-v2,10000154,transient_nonpersistent,Transient non-persistence,600,600,155,affine_calibrated_q10,1.1059953702476233,1.016894055957495,0.08910131429012824,8.76210395450011,0.43615213683857046,120,0.11794413919413918,0.11794413919413918,0.017944139194139175,0.017944139194139175,,,
