flagged_percent,later_low_observations_captured,any_later_low_stays_captured,hospital_deaths_captured
0.663239927043608,0.016843647015745148,0.011013986013986014,0.017035775127768313
0.6715304261316531,0.01720981325521787,0.011188811188811189,0.01788756388415673
0.6798209252196983,0.01725558403515196,0.011363636363636364,0.018739352640545145
0.6881114243077433,0.01757597949469059,0.011538461538461539,0.018739352640545145
0.6964019233957884,0.01771329183449286,0.011713286713286713,0.018739352640545145
0.7046924224838336,0.01803368729403149,0.011888111888111888,0.018739352640545145
0.7129829215718786,0.01853716587330648,0.012062937062937063,0.019591141396933562
0.7212734206599237,0.01853716587330648,0.012062937062937063,0.019591141396933562
0.7295639197479689,0.01867447821310875,0.012237762237762238,0.020442930153321975
0.7378544188360139,0.01894910289271329,0.012412587412587413,0.020442930153321975
0.746144917924059,0.01917795679238374,0.012587412587412588,0.020442930153321975
0.7544354170121041,0.019681435371658732,0.012762237762237762,0.020442930153321975
0.7627259161001493,0.019681435371658732,0.012762237762237762,0.020442930153321975
0.7710164151881943,0.019681435371658732,0.012762237762237762,0.020442930153321975
0.7793069142762394,0.020047601611131453,0.012937062937062937,0.020442930153321975
0.7875974133642846,0.020367997070670083,0.013111888111888112,0.02129471890971039
0.7958879124523296,0.020459538630538263,0.013286713286713287,0.02129471890971039
0.8041784115403747,0.020779934090076894,0.013461538461538462,0.02129471890971039
0.8124689106284199,0.021237641889417794,0.013636363636363636,0.02129471890971039
0.8207594097164649,0.021420725009154155,0.01381118881118881,0.022146507666098807
0.82904990880451,0.021832662028560965,0.013986013986013986,0.022146507666098807
0.8373404078925551,0.021969974368363236,0.014160839160839161,0.022998296422487224
0.8456309069806003,0.022381911387770046,0.014335664335664336,0.022998296422487224
0.8539214060686453,0.023205785426583667,0.01451048951048951,0.022998296422487224
0.8622119051566904,0.0235261808861223,0.014685314685314685,0.022998296422487224
0.8705024042447356,0.02366349322592457,0.01486013986013986,0.022998296422487224
0.8787929033327806,0.023983888685463202,0.015034965034965035,0.022998296422487224
0.8870834024208257,0.024258513365067742,0.01520979020979021,0.02385008517887564
0.8953739015088709,0.024350054924935922,0.015384615384615385,0.02385008517887564
0.9036644005969159,0.024441596484804103,0.015559440559440559,0.02385008517887564
0.911954899684961,0.024578908824606373,0.015734265734265736,0.02385008517887564
0.9202453987730062,0.024761991944342733,0.015909090909090907,0.024701873935264053
0.9285358978610513,0.025265470523617724,0.016083916083916083,0.02555366269165247
0.9368263969490963,0.025357012083485904,0.016258741258741258,0.02555366269165247
0.9451168960371414,0.025448553643354084,0.016433566433566433,0.026405451448040886
0.9534073951251866,0.025997803002563165,0.016608391608391608,0.027257240204429302
0.9616978942132316,0.025997803002563165,0.016608391608391608,0.027257240204429302
0.9699883933012767,0.026363969242035885,0.016783216783216783,0.027257240204429302
0.9782788923893219,0.026730135481508606,0.01695804195804196,0.027257240204429302
0.9865693914773669,0.027142072500915417,0.017132867132867134,0.028109028960817718
0.994859890565412,0.027325155620651777,0.01730769230769231,0.028960817717206135
1.003150389653457,0.027737092640058587,0.017482517482517484,0.028960817717206135
1.0114408887415023,0.028057488099597218,0.01765734265734266,0.028960817717206135
1.0197313878295473,0.02888136213841084,0.01783216783216783,0.029812606473594547
1.0280218869175923,0.02901867447821311,0.018006993006993006,0.029812606473594547
1.0363123860056376,0.02956792383742219,0.01818181818181818,0.029812606473594547
1.0446028850936826,0.02956792383742219,0.01818181818181818,0.029812606473594547
1.0528933841817278,0.02956792383742219,0.01818181818181818,0.029812606473594547
1.0611838832697729,0.02988831929696082,0.018356643356643356,0.029812606473594547
1.0694743823578179,0.0304375686561699,0.01853146853146853,0.029812606473594547
1.0777648814458631,0.03048333943610399,0.018706293706293706,0.029812606473594547
1.0860553805339082,0.03048333943610399,0.018706293706293706,0.029812606473594547
1.0943458796219532,0.03062065177590626,0.01888111888111888,0.029812606473594547
1.1026363787099984,0.030986818015378982,0.019055944055944057,0.029812606473594547
1.1109268777980434,0.031078359575247162,0.019230769230769232,0.029812606473594547
1.1192173768860885,0.03126144269498352,0.019405594405594407,0.029812606473594547
1.1275078759741337,0.03126144269498352,0.019405594405594407,0.029812606473594547
1.1357983750621787,0.03139875503478579,0.019580419580419582,0.029812606473594547
1.1440888741502238,0.0318106920541926,0.019755244755244754,0.029812606473594547
1.152379373238269,0.031948004393994874,0.01993006993006993,0.029812606473594547
1.160669872326314,0.032268399853533504,0.020104895104895104,0.030664395229982964
1.168960371414359,0.032588795313072134,0.02027972027972028,0.03151618398637138
1.1772508705024043,0.032680336872940315,0.020454545454545454,0.03236797274275979
1.1855413695904493,0.032771878432808495,0.02062937062937063,0.03236797274275979
