group_id,scenario_key,scenario_label,rep,n_stays,mean_index_count,mean_late_count,sd_index_count,sd_late_count,total_count_latent_level_correlation,observed_error_lag1_correlation,treatment_trigger_fraction,selected_shape_solver_converged_fraction
8000025,level_plus_shape,Persistent level plus shape,26,600,11.736666666666666,11.856666666666667,2.563514820700049,2.628873113198452,-0.0320713088405084,0.2427855463193332,0.0,1.0
8000026,level_plus_shape,Persistent level plus shape,27,600,12.026666666666667,12.09,2.5205576579533613,2.527029176873102,-0.028683581643265,0.2492934101961957,0.0,1.0
8000027,level_plus_shape,Persistent level plus shape,28,600,11.983333333333333,12.045,2.5769730704644003,2.5252597016811738,0.0315036185927481,0.2630269661963755,0.0,1.0
8000028,level_plus_shape,Persistent level plus shape,29,600,11.748333333333331,11.986666666666666,2.609536361551477,2.600851707594466,-0.0192181339067321,0.2502461948589186,0.0,1.0
8000029,level_plus_shape,Persistent level plus shape,30,600,12.098333333333333,12.091666666666669,2.615989849695855,2.5325784907695827,-0.0127558535298432,0.253435256503156,0.0,1.0
8000030,level_plus_shape,Persistent level plus shape,31,600,11.88,12.13,2.568383601386896,2.493350087284764,-0.02175143846813,0.2515904377440144,0.0,1.0
8000031,level_plus_shape,Persistent level plus shape,32,600,11.875,11.841666666666669,2.572366637332524,2.596375518283541,0.1120590666632142,0.2415334217557137,0.0,1.0
8000032,level_plus_shape,Persistent level plus shape,33,600,11.995,11.996666666666666,2.59348902231108,2.5970296803894244,0.0065197095831159,0.2553632690705754,0.0,1.0
8000033,level_plus_shape,Persistent level plus shape,34,600,11.88,12.01,2.690290462252259,2.522665204280613,0.0594279968447029,0.2623399506449632,0.0,1.0
8000034,level_plus_shape,Persistent level plus shape,35,600,12.016666666666667,11.986666666666666,2.653574567546848,2.630847357523149,0.0367465478481117,0.2482702997758651,0.0,1.0
8000035,level_plus_shape,Persistent level plus shape,36,600,11.83,11.891666666666667,2.5518529063066526,2.6187835473112964,0.0074340565188315,0.2496136949307902,0.0,1.0
8000036,level_plus_shape,Persistent level plus shape,37,600,12.17,12.278333333333334,2.5998137855493715,2.605541267705891,-0.0553422669202512,0.2516613191156808,0.0,1.0
8000037,level_plus_shape,Persistent level plus shape,38,600,12.016666666666667,11.991666666666667,2.543719009551726,2.593480439526371,0.0241960026545448,0.2372300704310025,0.0,1.0
8000038,level_plus_shape,Persistent level plus shape,39,600,11.908333333333331,12.016666666666667,2.5483499304128703,2.5587694420009304,-0.0407961443779673,0.2464615583287248,0.0,1.0
8000039,level_plus_shape,Persistent level plus shape,40,600,12.108333333333333,11.921666666666669,2.643528758316991,2.598740652159079,-0.0076104598823143,0.2409633266656289,0.0,1.0
9000020,treatment_feedback,Treatment feedback,21,600,9.935,9.941666666666666,2.560279943479157,2.5216784077691665,-0.0237264312587715,0.2635418426458258,0.2933333333333333,1.0
9000021,treatment_feedback,Treatment feedback,22,600,10.028333333333334,10.041666666666666,2.4781240997938045,2.5983037787050507,-0.0407332546255112,0.2613875717570394,0.2816666666666667,1.0
9000022,treatment_feedback,Treatment feedback,23,600,10.058333333333334,10.045,2.5727992632482053,2.631447483756094,-0.0593567520265865,0.269001947090245,0.2733333333333333,1.0
9000023,treatment_feedback,Treatment feedback,24,600,10.113333333333332,9.995,2.573232357074408,2.5947761185072005,0.0270263447727089,0.266085994975615,0.25,1.0
