scenario_key,scenario_label,method_a,method_b,estimand,n_effective_replicates,loss_difference_mean,loss_difference_mcse,loss_difference_mc_ci_lower,loss_difference_mc_ci_upper
level_plus_shape,Persistent level plus shape,tuned_level_slope,tuned_level,mean paired stay-level assessment check-loss difference (A - B),200,-0.0076186832599438245,0.0010697364798631416,-0.009715366760475581,-0.005521999759412068
level_plus_shape,Persistent level plus shape,raw_index_q10,affine_calibrated_q10,mean paired stay-level assessment check-loss difference (A - B),200,0.29692509540833656,0.0059869378398293965,0.2851906972422709,0.3086594935744022
treatment_feedback,Treatment feedback,tuned_level,population,mean paired stay-level assessment check-loss difference (A - B),200,-0.15304365407742931,0.003134064781730267,-0.15918642104962064,-0.146900887105238
treatment_feedback,Treatment feedback,affine_calibrated_q10,population,mean paired stay-level assessment check-loss difference (A - B),200,-0.1817121313959403,0.002933430734923623,-0.1874616556363906,-0.17596260715549
treatment_feedback,Treatment feedback,tuned_level,affine_calibrated_q10,mean paired stay-level assessment check-loss difference (A - B),200,0.028668477318510986,0.0015720747631228263,0.02558721078279025,0.031749743854231724
treatment_feedback,Treatment feedback,tuned_level_slope,tuned_level,mean paired stay-level assessment check-loss difference (A - B),200,0.026336873620639297,0.0018995260444522979,0.022613802573512795,0.0300599446677658
treatment_feedback,Treatment feedback,raw_index_q10,affine_calibrated_q10,mean paired stay-level assessment check-loss difference (A - B),200,0.08012775766268271,0.0022418645272512185,0.07573370318927032,0.0845218121360951
transient_nonpersistent,Transient non-persistence,tuned_level,population,mean paired stay-level assessment check-loss difference (A - B),200,0.0020323310750422637,0.0002975097712657764,0.001449211923361342,0.0026154502267231854
transient_nonpersistent,Transient non-persistence,affine_calibrated_q10,population,mean paired stay-level assessment check-loss difference (A - B),200,0.030576186152506114,0.0018417838375971824,0.026966289830815636,0.03418608247419659
transient_nonpersistent,Transient non-persistence,tuned_level,affine_calibrated_q10,mean paired stay-level assessment check-loss difference (A - B),200,-0.02854385507746385,0.0018714060001035766,-0.03221181083766686,-0.024875899317260843
transient_nonpersistent,Transient non-persistence,tuned_level_slope,tuned_level,mean paired stay-level assessment check-loss difference (A - B),200,0.000994212043468391,0.0005172959590833807,-1.968803633503515e-05,0.002008112123271817
transient_nonpersistent,Transient non-persistence,raw_index_q10,affine_calibrated_q10,mean paired stay-level assessment check-loss difference (A - B),200,0.7567311402683956,0.010036272614060334,0.7370600459448373,0.7764022345919539
null_serial,Pure null with serial dependence,tuned_level,population,mean paired stay-level assessment check-loss difference (A - B),200,0.0009360036057664312,0.0003655534462623525,0.00021951885109222028,0.001652488360440642
null_serial,Pure null with serial dependence,affine_calibrated_q10,population,mean paired stay-level assessment check-loss difference (A - B),200,0.057318096161359335,0.0015148435821449866,0.05434900274035516,0.06028718958236351
null_serial,Pure null with serial dependence,tuned_level,affine_calibrated_q10,mean paired stay-level assessment check-loss difference (A - B),200,-0.05638209255559291,0.0014781315669551724,-0.05927923042682504,-0.05348495468436077
null_serial,Pure null with serial dependence,tuned_level_slope,tuned_level,mean paired stay-level assessment check-loss difference (A - B),200,-0.0001730470299352954,0.00025387430240168986,-0.0006706406626426076,0.00032454660277201675
null_serial,Pure null with serial dependence,raw_index_q10,affine_calibrated_q10,mean paired stay-level assessment check-loss difference (A - B),200,0.1827874871300468,0.0038116337463137127,0.17531668498727193,0.19025828927282168
weak_level,Weak persistent level,tuned_level,population,mean paired stay-level assessment check-loss difference (A - B),200,-0.039415465061217736,0.0012031977679511743,-0.04177373268640204,-0.03705719743603343
weak_level,Weak persistent level,affine_calibrated_q10,population,mean paired stay-level assessment check-loss difference (A - B),200,-0.026275801264691624,0.0015065250432832104,-0.029228590349526715,-0.023323012179856533
weak_level,Weak persistent level,tuned_level,affine_calibrated_q10,mean paired stay-level assessment check-loss difference (A - B),200,-0.013139663796526112,0.0009690238414987105,-0.015038950525863584,-0.01124037706718864
weak_level,Weak persistent level,tuned_level_slope,tuned_level,mean paired stay-level assessment check-loss difference (A - B),200,0.007692502961889172,0.0006841175566533296,0.006351632550848646,0.009033373372929698
weak_level,Weak persistent level,raw_index_q10,affine_calibrated_q10,mean paired stay-level assessment check-loss difference (A - B),200,0.04846889605900851,0.0014405208475506642,0.04564547519780921,0.05129231692020781
heavy_tail_t3,Heavy-tailed t3 residual,tuned_level,population,mean paired stay-level assessment check-loss difference (A - B),200,-0.18748612379442786,0.0034974067906532427,-0.19434104110410821,-0.1806312064847475
heavy_tail_t3,Heavy-tailed t3 residual,affine_calibrated_q10,population,mean paired stay-level assessment check-loss difference (A - B),200,-0.1675548469802079,0.003953986647191931,-0.17530466080870408,-0.1598050331517117
heavy_tail_t3,Heavy-tailed t3 residual,tuned_level,affine_calibrated_q10,mean paired stay-level assessment check-loss difference (A - B),200,-0.01993127681421998,0.0025345160048777884,-0.024898928183780446,-0.014963625444659515
heavy_tail_t3,Heavy-tailed t3 residual,tuned_level_slope,tuned_level,mean paired stay-level assessment check-loss difference (A - B),200,0.039667711875186605,0.0017470715141968622,0.036243451707360756,0.043091972043012454
heavy_tail_t3,Heavy-tailed t3 residual,raw_index_q10,affine_calibrated_q10,mean paired stay-level assessment check-loss difference (A - B),200,0.05486494634943728,0.0021962018574827563,0.05056039070877108,0.059169501990103485
