group_id,scenario_key,scenario_label,rep,method,selected_penalty
8000002,level_plus_shape,Persistent level plus shape,3,tuned_level_slope,3.0
8000003,level_plus_shape,Persistent level plus shape,4,tuned_level,1.0
8000003,level_plus_shape,Persistent level plus shape,4,tuned_level_slope,0.3
8000004,level_plus_shape,Persistent level plus shape,5,tuned_level,1.0
8000004,level_plus_shape,Persistent level plus shape,5,tuned_level_slope,0.3
8000005,level_plus_shape,Persistent level plus shape,6,tuned_level,10.0
8000005,level_plus_shape,Persistent level plus shape,6,tuned_level_slope,1.0
8000006,level_plus_shape,Persistent level plus shape,7,tuned_level,0.3
8000006,level_plus_shape,Persistent level plus shape,7,tuned_level_slope,0.3
8000007,level_plus_shape,Persistent level plus shape,8,tuned_level,10.0
8000007,level_plus_shape,Persistent level plus shape,8,tuned_level_slope,0.3
8000008,level_plus_shape,Persistent level plus shape,9,tuned_level,1.0
8000008,level_plus_shape,Persistent level plus shape,9,tuned_level_slope,0.1
8000009,level_plus_shape,Persistent level plus shape,10,tuned_level,10.0
8000009,level_plus_shape,Persistent level plus shape,10,tuned_level_slope,3.0
8000010,level_plus_shape,Persistent level plus shape,11,tuned_level,1.0
8000010,level_plus_shape,Persistent level plus shape,11,tuned_level_slope,0.1
8000011,level_plus_shape,Persistent level plus shape,12,tuned_level,10.0
8000011,level_plus_shape,Persistent level plus shape,12,tuned_level_slope,1.0
8000012,level_plus_shape,Persistent level plus shape,13,tuned_level,1.0
8000012,level_plus_shape,Persistent level plus shape,13,tuned_level_slope,0.3
8000013,level_plus_shape,Persistent level plus shape,14,tuned_level,1.0
8000013,level_plus_shape,Persistent level plus shape,14,tuned_level_slope,0.3
8000014,level_plus_shape,Persistent level plus shape,15,tuned_level,0.3
8000014,level_plus_shape,Persistent level plus shape,15,tuned_level_slope,0.1
8000015,level_plus_shape,Persistent level plus shape,16,tuned_level,10.0
8000015,level_plus_shape,Persistent level plus shape,16,tuned_level_slope,0.3
8000016,level_plus_shape,Persistent level plus shape,17,tuned_level,1.0
8000016,level_plus_shape,Persistent level plus shape,17,tuned_level_slope,0.3
8000017,level_plus_shape,Persistent level plus shape,18,tuned_level,1.0
8000017,level_plus_shape,Persistent level plus shape,18,tuned_level_slope,0.3
8000018,level_plus_shape,Persistent level plus shape,19,tuned_level,0.3
8000018,level_plus_shape,Persistent level plus shape,19,tuned_level_slope,0.1
8000019,level_plus_shape,Persistent level plus shape,20,tuned_level,0.1
8000019,level_plus_shape,Persistent level plus shape,20,tuned_level_slope,0.1
9000000,treatment_feedback,Treatment feedback,1,tuned_level,0.03
9000000,treatment_feedback,Treatment feedback,1,tuned_level_slope,0.1
9000001,treatment_feedback,Treatment feedback,2,tuned_level,0.03
9000001,treatment_feedback,Treatment feedback,2,tuned_level_slope,0.1
9000002,treatment_feedback,Treatment feedback,3,tuned_level,0.1
9000002,treatment_feedback,Treatment feedback,3,tuned_level_slope,0.1
9000003,treatment_feedback,Treatment feedback,4,tuned_level,0.1
9000003,treatment_feedback,Treatment feedback,4,tuned_level_slope,0.1
9000004,treatment_feedback,Treatment feedback,5,tuned_level,0.1
9000004,treatment_feedback,Treatment feedback,5,tuned_level_slope,0.1
9000005,treatment_feedback,Treatment feedback,6,tuned_level,0.1
9000005,treatment_feedback,Treatment feedback,6,tuned_level_slope,0.1
9000006,treatment_feedback,Treatment feedback,7,tuned_level,0.03
9000006,treatment_feedback,Treatment feedback,7,tuned_level_slope,0.1
9000007,treatment_feedback,Treatment feedback,8,tuned_level,0.03
9000007,treatment_feedback,Treatment feedback,8,tuned_level_slope,0.1
9000008,treatment_feedback,Treatment feedback,9,tuned_level,0.03
9000008,treatment_feedback,Treatment feedback,9,tuned_level_slope,0.1
9000009,treatment_feedback,Treatment feedback,10,tuned_level,0.1
9000009,treatment_feedback,Treatment feedback,10,tuned_level_slope,0.1
9000010,treatment_feedback,Treatment feedback,11,tuned_level,0.1
9000010,treatment_feedback,Treatment feedback,11,tuned_level_slope,0.1
9000011,treatment_feedback,Treatment feedback,12,tuned_level,0.1
9000011,treatment_feedback,Treatment feedback,12,tuned_level_slope,0.1
9000012,treatment_feedback,Treatment feedback,13,tuned_level,0.1
9000012,treatment_feedback,Treatment feedback,13,tuned_level_slope,0.1
9000013,treatment_feedback,Treatment feedback,14,tuned_level,0.03
9000013,treatment_feedback,Treatment feedback,14,tuned_level_slope,0.1
9000014,treatment_feedback,Treatment feedback,15,tuned_level,0.1
9000014,treatment_feedback,Treatment feedback,15,tuned_level_slope,0.1
