scenario_key,scenario_label,method,n_attempted_replicates,n_effective_replicates,failure_count,failure_rate
level_plus_shape,Persistent level plus shape,tuned_level_slope,200,200,0,0.0
treatment_feedback,Treatment feedback,oracle,200,200,0,0.0
treatment_feedback,Treatment feedback,population,200,200,0,0.0
treatment_feedback,Treatment feedback,raw_index_q10,200,200,0,0.0
treatment_feedback,Treatment feedback,affine_calibrated_q10,200,200,0,0.0
treatment_feedback,Treatment feedback,unpenalized_level,200,200,0,0.0
treatment_feedback,Treatment feedback,tuned_level,200,200,0,0.0
treatment_feedback,Treatment feedback,tuned_level_slope,200,200,0,0.0
transient_nonpersistent,Transient non-persistence,oracle,200,200,0,0.0
transient_nonpersistent,Transient non-persistence,population,200,200,0,0.0
transient_nonpersistent,Transient non-persistence,raw_index_q10,200,200,0,0.0
transient_nonpersistent,Transient non-persistence,affine_calibrated_q10,200,200,0,0.0
transient_nonpersistent,Transient non-persistence,unpenalized_level,200,200,0,0.0
transient_nonpersistent,Transient non-persistence,tuned_level,200,200,0,0.0
transient_nonpersistent,Transient non-persistence,tuned_level_slope,200,200,0,0.0
null_serial,Pure null with serial dependence,oracle,200,200,0,0.0
null_serial,Pure null with serial dependence,population,200,200,0,0.0
null_serial,Pure null with serial dependence,raw_index_q10,200,200,0,0.0
null_serial,Pure null with serial dependence,affine_calibrated_q10,200,200,0,0.0
null_serial,Pure null with serial dependence,unpenalized_level,200,200,0,0.0
null_serial,Pure null with serial dependence,tuned_level,200,200,0,0.0
null_serial,Pure null with serial dependence,tuned_level_slope,200,200,0,0.0
weak_level,Weak persistent level,oracle,200,200,0,0.0
weak_level,Weak persistent level,population,200,200,0,0.0
weak_level,Weak persistent level,raw_index_q10,200,200,0,0.0
weak_level,Weak persistent level,affine_calibrated_q10,200,200,0,0.0
weak_level,Weak persistent level,unpenalized_level,200,200,0,0.0
weak_level,Weak persistent level,tuned_level,200,200,0,0.0
weak_level,Weak persistent level,tuned_level_slope,200,200,0,0.0
heavy_tail_t3,Heavy-tailed t3 residual,oracle,200,200,0,0.0
heavy_tail_t3,Heavy-tailed t3 residual,population,200,200,0,0.0
heavy_tail_t3,Heavy-tailed t3 residual,raw_index_q10,200,200,0,0.0
heavy_tail_t3,Heavy-tailed t3 residual,affine_calibrated_q10,200,200,0,0.0
heavy_tail_t3,Heavy-tailed t3 residual,unpenalized_level,200,200,0,0.0
heavy_tail_t3,Heavy-tailed t3 residual,tuned_level,200,200,0,0.0
heavy_tail_t3,Heavy-tailed t3 residual,tuned_level_slope,200,200,0,0.0
